,date,rawContent,cleaned_content
163,2022-09-26 13:18:33+00:00,Commentary: Bivalent vaccines may give 5-10% better protection against Covid-19 — but getting boosted promptly is best bet https://t.co/neIQ7viEXY,commentary bivalent vaccines may give 5 10 better protection against covid 19 but getting boosted promptly is best bet
164,2022-09-26 13:18:32+00:00,What’s going on today with all these cringey videos??,what s going today with all these cringey videos
165,2022-09-26 13:18:31+00:00,"@CHIEtizensOFC Research

#ChieFilomeno",research
166,2022-09-26 13:18:31+00:00,@Devikum71499890 @bestie_of_denis @BeingHu94216048 @roshini_ani @NancyDaffodils @Krithiga_Selva @intellectaround @Preethiitalks ❤️❤️🙌,
167,2022-09-26 13:18:29+00:00,@Amei82888572 @MoiSuet 心正不怕邪😂,
168,2022-09-26 13:18:28+00:00,I hate this mood i be in :(,i hate this mood i be
169,2022-09-26 13:18:28+00:00,好好反省一下你自己 https://t.co/I28uN9n2IP,
170,2022-09-26 13:18:26+00:00,Men who can cook ✅️✅️,men who can cook
171,2022-09-26 13:18:25+00:00,"Keep working hard baby boss, heads up, always! Just know that whoever is trying to bring you down, is already below you. #meerqeendiindonesia #meerqeenflytoindonesia https://t.co/uD340qVDJG",keep working hard baby boss heads up always just know that whoever is trying bring you down is already below you
172,2022-09-26 13:18:24+00:00,@MHaineken Would you have the links to videos or interviews what she says exactly about these things? I'd prefer that over having a third party like you speaking for her. Many times things get lost in translation. Thank you,would you have links videos or interviews what she says exactly about these things id prefer that over having third party like you speaking her many times things get lost translation thank you
173,2022-09-26 13:18:23+00:00,"@it_is_MB Oath🤞🏾
I’d advise you don’t smoke immediately after charging your vape as there might be residual current flowing.",oath i d advise you don t smoke immediately after charging your vape as there might be residual current flowing
174,2022-09-26 13:18:23+00:00,hapix2,hapix2
175,2022-09-26 13:18:20+00:00,"Hi #kep1er #kep1ian #Kep1ianラーメン部 
Fie uploaded a surprise EARLY reaction video for Sugar Rush FULL MV~! Good for those with no Universe App etc.. 🔥
Like Comment Subscribe, Kep1er on all platforms~!❤️
https://t.co/tO1TyvSvXl
#Kep1er_Sugarrush #SugarRush",hi fie uploaded surprise early reaction video sugar rush full mv good those with no universe app etc like comment subscribe kep1er all platforms
